timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,blocksize,bw_agg,bw_dev,bw_max,bw_mean,bw_min,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,direct,filename,fio_job,group_reporting,image,index,iodepth,ioengine,ip_type,machine_type,max,mean,min,num_cpus,num_parallel_copies,num_striped_disks,numjobs,overwrite,p1,p10,p20,p30,p40,p5,p50,p60,p70,p80,p90,p95,p99,p99.5,p99.9,p99.95,p99.99,perfkitbenchmarker_version,randrepeat,receiving_machine_type,receiving_zone,runtime,runtime_in_seconds,rw,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,size,stddev,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469814524.686705,fio,random_write_rest:read:latency:p90,19840,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,c0752072-68a4-4a0a-9597-750332d17127,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p95,25472,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,01323bcc-9f03-426a-a83b-7e3f356618d0,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p99,74240,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,9bd47ff6-f6ef-4205-b959-d9564f9a50e8,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p99.5,129536,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,84cc1e7a-2776-4434-8bed-81ac4c9ed833,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p99.9,148480,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,c6f002a2-cfa4-4a9e-961e-84199c488c5c,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p99.95,168960,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,74c97169-8120-4eca-8c1c-004aa491a5c1,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:latency:p99.99,214016,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,5ea13fe4-7f71-421e-9807-fa6a7bd9f185,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:read:iops,1389.46,,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,4c213d92-05c6-4664-96bb-52700c1a3445,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.687687,fio,random_write_rest:write:bandwidth,5349,KB/s,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,a1f5adb0-bba7-4a77-bfb9-1fb9e13d1db7,,4k,6.26,83.81,533,335.11,25,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,,,,,,1,16,1,,,,,,,,,,,,,,,,,,unknown,0,,,60,,randwrite,,500,standard,,,,1G,,,,,,,,,,,,,1,us-east-1b
1469814524.686705,fio,random_write_rest:write:latency,11954.22,usec,PerfKitBenchmarker,False,root,b07719ea-2f106a41-3a64-4cac-ad99-fea628959470,860607dc-eeef-46bd-a79c-9eda50299d31,,4k,,,,,,AWS,standard,hdd,1,zone,500,standard,1,fio_test_file,random_write_rest,,ami-cbdd50dc,,1,libaio,,t2.micro,254551,11954.22,1213,,,1,16,1,3664,4576,5472,6432,7456,4128,8512,10048,11968,14912,20352,26240,82432,130560,150528,168960,224256,unknown,0,,,60,,randwrite,,500,standard,,,,1G,14290.87,,,,,,,,,,,,1,us-east-1b
