timestamp,test,metric,value,unit,product_name,official,owner,run_uri,sample_uri,baseline,cloud,data_disk_0_legacy_disk_type,data_disk_0_media,data_disk_0_num_stripes,data_disk_0_replication,data_disk_0_size,data_disk_0_type,image,index,ip_type,machine_type,num_cpus,num_parallel_copies,num_striped_disks,perfkitbenchmarker_version,receiving_machine_type,receiving_zone,runtime_in_seconds,samples,scratch_disk_size,scratch_disk_type,sending_machine_type,sending_thread_count,sending_zone,time,vm_1_cloud,vm_1_image,vm_1_machine_type,vm_1_vm_count,vm_1_zone,vm_2_cloud,vm_2_image,vm_2_machine_type,vm_2_vm_count,vm_2_zone,vm_count,zone
1469839093.771679,unixbench,Execl Throughput:score,2476.6,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,8d10d175-400c-4272-9edf-a4c1bf6123dc,43.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,575.9,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771685,unixbench,File Copy 1024 bufsize 2000 maxblocks:score,580961.0,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,51893293-1143-4643-844a-1a37773675f6,3960.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,1467.1,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771693,unixbench,File Copy 256 bufsize 500 maxblocks:score,154325.0,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,4b8af22f-3b22-40fc-888f-acf539f5d0f4,1655.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,932.5,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771701,unixbench,File Copy 4096 bufsize 8000 maxblocks:score,1385758.0,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,bb46005d-24d1-4a36-a2ca-a52615ea2265,5800.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,2389.2,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771707,unixbench,Pipe Throughput:score,851954.9,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,9006c420-bf0d-42dc-90c9-d243640de7a6,12440.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,684.9,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771713,unixbench,Pipe-based Context Switching:score,166543.4,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,8f5f4a9c-f063-47b4-a506-ddb095f5c84b,4000.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,416.4,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771719,unixbench,Process Creation:score,6584.1,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,b42f5201-683a-45c2-8dc7-b893d091bf07,126.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,522.5,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771725,unixbench,Shell Scripts (1 concurrent):score,4166.1,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,220e5e95-f071-48b8-9764-512142cc1bcc,42.4,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,982.6,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771731,unixbench,Shell Scripts (8 concurrent):score,521.0,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,d9c4bada-df88-4465-a7c6-ee8a8750b630,6.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,868.4,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.771737,unixbench,System Call Overhead:score,1772948.9,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,0de8a0ed-0572-4e2f-81cb-2dfc4bdedc7a,15000.0,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,1182.0,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839093.772174,unixbench,System Benchmarks Index Score,828.1,,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,51a9f526-8be1-45e3-87c8-7f0edbe3938d,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,1,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
1469839274.708787,unixbench,End to End Runtime,1095.9832570552826,seconds,PerfKitBenchmarker,False,root,e299195c-efe4169e-1ae2-4501-b691-324b84d2eb18,ab9548fe-1b80-4374-9eaf-b8bce6eca8ce,,Azure,standard,hdd,1,zone,500,standard-disk,b39f27a8b8c64d52b05eac6a62ebad85__Ubuntu-14_04_4-LTS-amd64-server-20160714-en-us-30GB,,,Small,,,1,unknown,,,,,500,standard,,,,,,,,,,,,,,,1,East US
